"games","gold","silver","bronze","event","gender","year","location","event_type","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
"1988 Seoul","Debbie Flintoff-King Australia","Tatyana Ledovskaya Soviet Union","Ellen Fiedler East Germany","400 metres hurdles","women","1988","Seoul","Running","Debbie Flintoff-King ","Tatyana Ledovskaya ","Ellen Fiedler ","Australia","Soviet Union","East Germany"
"1992 Barcelona","Sally Gunnell Great Britain","Sandra Farmer-Patrick United States","Janeene Vickers United States","400 metres hurdles","women","1992","Barcelona","Running","Sally Gunnell ","Sandra Farmer-Patrick ","Janeene Vickers ","Great Britain","United States","United States"
"1996 Atlanta","Deon Hemmings Jamaica","Kim Batten United States","Tonja Buford-Bailey United States","400 metres hurdles","women","1996","Atlanta","Running","Deon Hemmings ","Kim Batten ","Tonja Buford-Bailey ","Jamaica","United States","United States"
"2000 Sydney","Irina Privalova Russia","Deon Hemmings Jamaica","Nezha Bidouane Morocco","400 metres hurdles","women","2000","Sydney","Running","Irina Privalova ","Deon Hemmings ","Nezha Bidouane ","Russia","Jamaica","Morocco"
"2004 Athens","Fani Halkia Greece","Ionela Târlea-Manolache Romania","Tetyana Tereshchuk-Antipova Ukraine","400 metres hurdles","women","2004","Athens","Running","Fani Halkia ","Ionela Târlea-Manolache ","Tetyana Tereshchuk-Antipova ","Greece","Romania","Ukraine"
"2008 Beijing","Melaine Walker Jamaica","Sheena Tosta United States","Tasha Danvers Great Britain","400 metres hurdles","women","2008","Beijing","Running","Melaine Walker ","Sheena Tosta ","Tasha Danvers ","Jamaica","United States","Great Britain"
"2012 London","Natalya Antyukh Russia","Lashinda Demus United States","Zuzana Hejnová Czech Republic","400 metres hurdles","women","2012","London","Running","Natalya Antyukh ","Lashinda Demus ","Zuzana Hejnová ","Russia","United States","Czech Republic"
"2016 Rio de Janeiro","Dalilah Muhammad United States","Sara Petersen Denmark","Ashley Spencer United States","400 metres hurdles","women","2016","Rio de Janeiro","Running","Dalilah Muhammad ","Sara Petersen ","Ashley Spencer ","United States","Denmark","United States"
"2008 Beijing[nb]","Gulnara Samitova-Galkina Russia","Eunice Jepkorir Kenya","Tatyana Petrova Arkhipova Russia","3000 metres steeplechase","women","2008","Beijing[nb]","Running","Gulnara Samitova-Galkina ","Eunice Jepkorir ","Tatyana Petrova Arkhipova ","Russia","Kenya","Russia"
"2012 London[nb2]","Habiba Ghribi Tunisia","Sofia Assefa Ethiopia","Milcah Chemos Cheywa Kenya","3000 metres steeplechase","women","2012","London[nb2]","Running","Habiba Ghribi ","Sofia Assefa ","Milcah Chemos Cheywa ","Tunisia","Ethiopia","Kenya"
"2016 Rio de Janeiro","Ruth Jebet Bahrain","Hyvin Kiyeng Jepkemoi Kenya","Emma Coburn United States","3000 metres steeplechase","women","2016","Rio de Janeiro","Running","Ruth Jebet Bahrain","Hyvin Kiyeng Jepkemoi ","Emma Coburn ",NA,"Kenya","United States"
"1928 Amsterdam","Canada (CAN)Fanny RosenfeldEthel SmithJane BellMyrtle Cook","United States (USA)Mary WashburnJessie CrossLoretta McNeilBetty Robinson","Germany (GER)Rosa KellnerLeni SchmidtAnni HoldmannLeni Junker","4 × 100 metres relay","women","1928","Amsterdam","Running"," (CAN)Fanny RosenfeldEthel SmithJane BellMyrtle Cook"," (USA)Mary WashburnJessie CrossLoretta McNeilBetty Robinson"," (GER)Rosa KellnerLeni SchmidtAnni HoldmannLeni Junker","Canada","United States","Germany"
"1932 Los Angeles","United States (USA)Mary CarewEvelyn FurtschAnnette RogersWilhelmina von Bremen","Canada (CAN)Mildred FizzellLillian PalmerMary FrizzellHilda Strike","Great Britain (GBR)Eileen HiscockGwendoline PorterViolet WebbNellie Halstead","4 × 100 metres relay","women","1932","Los Angeles","Running"," (USA)Mary CarewEvelyn FurtschAnnette RogersWilhelmina von Bremen"," (CAN)Mildred FizzellLillian PalmerMary FrizzellHilda Strike"," (GBR)Eileen HiscockGwendoline PorterViolet WebbNellie Halstead","United States","Canada","Great Britain"
"1936 Berlin","United States (USA)Harriet BlandAnnette RogersBetty RobinsonHelen Stephens","Great Britain (GBR)Eileen HiscockViolet OlneyAudrey BrownBarbara Burke","Canada (CAN)Dorothy BrookshawJeanette DolsonHilda CameronAileen Meagher","4 × 100 metres relay","women","1936","Berlin","Running"," (USA)Harriet BlandAnnette RogersBetty RobinsonHelen Stephens"," (GBR)Eileen HiscockViolet OlneyAudrey BrownBarbara Burke"," (CAN)Dorothy BrookshawJeanette DolsonHilda CameronAileen Meagher","United States","Great Britain","Canada"
"1948 London","Netherlands (NED)Xenia Stad-de JongNetti Witziers-TimmerGerda van der Kade-KoudijsFanny Blankers-Koen","Australia (AUS)Shirley StricklandJune MastonBetty McKinnonJoyce King","Canada (CAN)Viola MyersNancy MackayDiane FosterPatricia Jones","4 × 100 metres relay","women","1948","London","Running"," (NED)Xenia Stad-de JongNetti Witziers-TimmerGerda van der Kade-KoudijsFanny Blankers-Koen"," (AUS)Shirley StricklandJune MastonBetty McKinnonJoyce King"," (CAN)Viola MyersNancy MackayDiane FosterPatricia Jones","Netherlands","Australia","Canada"
"1952 Helsinki","United States (USA)Mae FaggsBarbara JonesJanet MoreauCatherine Hardy","Germany (GER)Ursula KnabMaria SanderHelga KleinMarga Petersen","Great Britain (GBR)Sylvia CheesemanJune FouldsJean DesforgesHeather Armitage","4 × 100 metres relay","women","1952","Helsinki","Running"," (USA)Mae FaggsBarbara JonesJanet MoreauCatherine Hardy"," (GER)Ursula KnabMaria SanderHelga KleinMarga Petersen"," (GBR)Sylvia CheesemanJune FouldsJean DesforgesHeather Armitage","United States","Germany","Great Britain"
"1956 Melbourne","Australia (AUS)Shirley Strickland de la HuntyNorma CrokerFleur MellorBetty Cuthbert","Great Britain (GBR)Anne PashleyJean ScrivensJune FouldsHeather Armitage","United States (USA)Mae FaggsMargaret MatthewsWilma RudolphIsabelle Daniels","4 × 100 metres relay","women","1956","Melbourne","Running"," (AUS)Shirley Strickland de la HuntyNorma CrokerFleur MellorBetty Cuthbert"," (GBR)Anne PashleyJean ScrivensJune FouldsHeather Armitage"," (USA)Mae FaggsMargaret MatthewsWilma RudolphIsabelle Daniels","Australia","Great Britain","United States"
"1960 Rome","United States (USA)Martha HudsonLucinda WilliamsBarbara JonesWilma Rudolph","United Team of Germany (EUA)Martha LangbeinAnni BiechlBrunhilde HendrixJutta Heine","Poland (POL)Teresa WieczorekBarbara JaniszewskaCelina JesionowskaHalina Richter","4 × 100 metres relay","women","1960","Rome","Running"," (USA)Martha HudsonLucinda WilliamsBarbara JonesWilma Rudolph"," (EUA)Martha LangbeinAnni BiechlBrunhilde HendrixJutta Heine"," (POL)Teresa WieczorekBarbara JaniszewskaCelina JesionowskaHalina Richter","United States","United Team of Germany","Poland"
"1964 Tokyo","Poland (POL)Teresa CieplyIrena KirszensteinHalina GóreckaEwa Klobukowska","United States (USA)Willye WhiteWyomia TyusMarilyn WhiteEdith McGuire","Great Britain (GBR)Janet SimpsonMary RandDaphne ArdenDorothy Hyman","4 × 100 metres relay","women","1964","Tokyo","Running"," (POL)Teresa CieplyIrena KirszensteinHalina GóreckaEwa Klobukowska"," (USA)Willye WhiteWyomia TyusMarilyn WhiteEdith McGuire"," (GBR)Janet SimpsonMary RandDaphne ArdenDorothy Hyman","Poland","United States","Great Britain"
"1968 Mexico City","United States (USA)Barbara FerrellMargaret BailesMildrette NetterWyomia Tyus","Cuba (CUB)Marlene ElejardeFulgencia RomayVioletta QuesadaMiguelina Cobián","Soviet Union (URS)Lyudmila ZharkovaGalina BukharinaVera PopkovaLyudmila Samotyosova","4 × 100 metres relay","women","1968","Mexico City","Running"," (USA)Barbara FerrellMargaret BailesMildrette NetterWyomia Tyus"," (CUB)Marlene ElejardeFulgencia RomayVioletta QuesadaMiguelina Cobián"," (URS)Lyudmila ZharkovaGalina BukharinaVera PopkovaLyudmila Samotyosova","United States","Cuba","Soviet Union"
"1972 Munich","West Germany (FRG)Christiane KrauseIngrid Mickler-BeckerAnnegret RichterHeide Rosendahl","East Germany (GDR)Evelin KauferChristina HeinichBärbel StruppertRenate Stecher","Cuba (CUB)Marlene ElejardeCarmen ValdésFulgencia RomaySilvia Chivás","4 × 100 metres relay","women","1972","Munich","Running"," (FRG)Christiane KrauseIngrid Mickler-BeckerAnnegret RichterHeide Rosendahl"," (GDR)Evelin KauferChristina HeinichBärbel StruppertRenate Stecher"," (CUB)Marlene ElejardeCarmen ValdésFulgencia RomaySilvia Chivás","West Germany","East Germany","Cuba"
"1976 Montreal","East Germany (GDR)Marlies OelsnerRenate StecherCarla BodendorfBärbel Eckert","West Germany (FRG)Elvira PossekelInge HeltenAnnegret RichterAnnegret Kroniger","Soviet Union (URS)Tatyana ProrochenkoLyudmila MaslakovaNadezhda BesfamilnayaVera Anisimova","4 × 100 metres relay","women","1976","Montreal","Running"," (GDR)Marlies OelsnerRenate StecherCarla BodendorfBärbel Eckert"," (FRG)Elvira PossekelInge HeltenAnnegret RichterAnnegret Kroniger"," (URS)Tatyana ProrochenkoLyudmila MaslakovaNadezhda BesfamilnayaVera Anisimova","East Germany","West Germany","Soviet Union"
"1980 Moscow","East Germany (GDR)Romy MüllerBärbel WöckelIngrid AuerswaldMarlies Göhr","Soviet Union (URS)Vera KomisovaLyudmila MaslakovaVera AnisimovaNatalya Bochina","Great Britain (GBR)Heather HunteKathy Smallwood-CookBeverley GoddardSonia Lannaman","4 × 100 metres relay","women","1980","Moscow","Running"," (GDR)Romy MüllerBärbel WöckelIngrid AuerswaldMarlies Göhr"," (URS)Vera KomisovaLyudmila MaslakovaVera AnisimovaNatalya Bochina"," (GBR)Heather HunteKathy Smallwood-CookBeverley GoddardSonia Lannaman","East Germany","Soviet Union","Great Britain"
"1984 Los Angeles","United States (USA)Alice BrownJeanette BoldenChandra CheeseboroughEvelyn Ashford","Canada (CAN)Angela BaileyMarita PayneAngella Taylor-IssajenkoFrance Gareau","Great Britain (GBR)Simmone JacobsKathy Smallwood-CookBeverley CallanderHeather Oakes","4 × 100 metres relay","women","1984","Los Angeles","Running"," (USA)Alice BrownJeanette BoldenChandra CheeseboroughEvelyn Ashford"," (CAN)Angela BaileyMarita PayneAngella Taylor-Issajenko Gareau"," (GBR)Simmone JacobsKathy Smallwood-CookBeverley CallanderHeather Oakes","United States","Canada","Great Britain"
"1988 Seoul","United States (USA)Alice BrownSheila EcholsFlorence Griffith JoynerEvelyn AshfordDannette Young*","East Germany (GDR)Silke MöllerKerstin BehrendtIngrid AuerswaldMarlies Göhr","Soviet Union (URS)Lyudmila KondratyevaGalina MalchuginaMarina ZhirovaNatalya PomoschnikovaMaia Azarashvili*","4 × 100 metres relay","women","1988","Seoul","Running"," (USA)Alice BrownSheila EcholsFlorence Griffith JoynerEvelyn AshfordDannette Young*"," (GDR)Silke MöllerKerstin BehrendtIngrid AuerswaldMarlies Göhr"," (URS)Lyudmila KondratyevaGalina MalchuginaMarina ZhirovaNatalya PomoschnikovaMaia Azarashvili*","United States","East Germany","Soviet Union"
"1992 Barcelona","United States (USA)Evelyn AshfordEsther JonesCarlette GuidryGwen TorrenceMichelle Finn*","Unified Team (EUN)Olga BogoslovskayaGalina MalchuginaMarina TrandenkovaIrina Privalova","Nigeria (NGR)Beatrice UtonduFaith IdehenChristy Opara-ThompsonMary Onyali","4 × 100 metres relay","women","1992","Barcelona","Running"," (USA)Evelyn AshfordEsther JonesCarlette GuidryGwen TorrenceMichelle Finn*"," (EUN)Olga BogoslovskayaGalina MalchuginaMarina TrandenkovaIrina Privalova"," (NGR)Beatrice UtonduFaith IdehenChristy Opara-ThompsonMary Onyali","United States","Unified Team","Niger"
"1996 Atlanta","United States (USA)Gail DeversInger MillerChryste GainesGwen TorrenceCarlette Guidry*","Bahamas (BAH)Eldece ClarkeChandra SturrupSavatheda FynesPauline Davis-ThompsonDebbie Ferguson*","Jamaica (JAM)Michelle FreemanJuliet CuthbertNikole MitchellMerlene OtteyGillian Russell*Andria Lloyd*","4 × 100 metres relay","women","1996","Atlanta","Running"," (USA)Gail DeversInger MillerChryste GainesGwen TorrenceCarlette Guidry*","Bahamas (BAH)Eldece ClarkeChandra SturrupSavatheda FynesPauline Davis-ThompsonDebbie Ferguson*"," (JAM)Michelle FreemanJuliet CuthbertNikole MitchellMerlene OtteyGillian Russell*Andria Lloyd*","United States",NA,"Jamaica"
"2000 Sydney","Bahamas (BAH)Savatheda FynesChandra SturrupPauline Davis-ThompsonDebbie FergusonEldece Clarke-Lewis*","Jamaica (JAM)Tayna LawrenceVeronica CampbellBeverly McDonaldMerlene OtteyMerlene Frazer*","United States (USA)Chryste GainesTorri EdwardsNanceen Perry Marion Jones[nb]Passion Richardson*","4 × 100 metres relay","women","2000","Sydney","Running","Bahamas (BAH)Savatheda FynesChandra SturrupPauline Davis-ThompsonDebbie FergusonEldece Clarke-Lewis*"," (JAM)Tayna LawrenceVeronica CampbellBeverly McDonaldMerlene OtteyMerlene Frazer*"," (USA)Chryste GainesTorri EdwardsNanceen Perry Marion Jones[nb]Passion Richardson*",NA,"Jamaica","United States"
"2004 Athens","Jamaica (JAM)Tayna LawrenceSherone SimpsonAleen BaileyVeronica CampbellBeverly McDonald*","Russia (RUS)Olga FyodorovaYuliya TabakovaIrina KhabarovaLarisa Kruglova","France (FRA)Véronique MangMuriel HurtisSylviane FélixChristine Arron","4 × 100 metres relay","women","2004","Athens","Running"," (JAM)Tayna LawrenceSherone SimpsonAleen BaileyVeronica CampbellBeverly McDonald*"," (RUS)Olga FyodorovaYuliya TabakovaIrina KhabarovaLarisa Kruglova"," (FRA)Véronique MangMuriel HurtisSylviane FélixChristine Arron","Jamaica","Russia","France"
"2008 Beijing","Belgium (BEL)Kim GevaertÉlodie OuédraogoHanna MariënOlivia Borlée","Nigeria (NGR)Halimat IsmailaOludamola OsayomiAgnes OsazuwaGloria KemasuodeEne Franca Idoko*","Brazil (BRA)Rosemar Coelho NetoLucimar de MouraThaissa PrestiRosângela Santos","4 × 100 metres relay","women","2008","Beijing","Running"," (BEL)Kim GevaertÉlodie OuédraogoHanna MariënOlivia Borlée"," (NGR)Halimat IsmailaOludamola OsayomiAgnes OsazuwaGloria KemasuodeEne Franca Idoko*"," (BRA)Rosemar Coelho NetoLucimar de MouraThaissa PrestiRosângela Santos","Belgium","Niger","Brazil"
"2012 London","United States (USA)Tianna MadisonAllyson FelixBianca KnightCarmelita JeterJeneba Tarmoh*Lauryn Williams*","Jamaica (JAM)Shelly-Ann Fraser-PryceSherone SimpsonVeronica Campbell-BrownKerron StewartSamantha Henry-Robinson*Schillonie Calvert*","Ukraine (UKR)Olesya PovhKhrystyna StuyMariya RyemyenYelyzaveta Bryzhina","4 × 100 metres relay","women","2012","London","Running"," (USA)Tianna MadisonAllyson FelixBianca KnightCarmelita JeterJeneba Tarmoh*Lauryn Williams*"," (JAM)Shelly-Ann Fraser-PryceSherone SimpsonVeronica Campbell-BrownKerron StewartSamantha Henry-Robinson*Schillonie Calvert*"," (UKR)Olesya PovhKhrystyna StuyMariya RyemyenYelyzaveta Bryzhina","United States","Jamaica","Ukraine"
"2016 Rio de Janeiro","United States (USA)Tianna BartolettaAllyson FelixEnglish GardnerTori BowieMorolake Akinosun*","Jamaica (JAM)Christania WilliamsElaine ThompsonVeronica Campbell-BrownShelly-Ann Fraser-PryceSimone Facey*Shashalee Forbes*","Great Britain (GBR)Asha PhilipDesirèe HenryDina Asher-SmithDaryll Neita","4 × 100 metres relay","women","2016","Rio de Janeiro","Running"," (USA)Tianna BartolettaAllyson FelixEnglish GardnerTori BowieMorolake Akinosun*"," (JAM)Christania WilliamsElaine ThompsonVeronica Campbell-BrownShelly-Ann Fraser-PryceSimone Facey*Shashalee Forbes*"," (GBR)Asha PhilipDesirèe HenryDina Asher-SmithDaryll Neita","United States","Jamaica","Great Britain"
"1972 Munich","East Germany (GDR)Dagmar KäslingRita KühneHelga SeidlerMonika Zehrt","United States (USA)Mable FergersonMadeline ManningCheryl ToussaintKathy Hammond","West Germany (FRG)Anette RückesInge BöddingHildegard FalckRita Wilden","4 × 400 metres relay","women","1972","Munich","Running"," (GDR)Dagmar KäslingRita KühneHelga SeidlerMonika Zehrt"," (USA)Mable FergersonMadeline ManningCheryl ToussaintKathy Hammond"," (FRG)Anette RückesInge BöddingHildegard FalckRita Wilden","East Germany","United States","West Germany"
