"year","level","path","distance","value","event","event_type","games","gold","silver","bronze","gender","location","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
1968,16,362,18,0.0125,"80 metres hurdles","Running","1968 Mexico City","Maureen Caird Australia","Pam Kilborn Australia","Chi Cheng Republic of China","women","Mexico City","Maureen Caird ","Pam Kilborn ","Chi Cheng Republic of ","Australia","Australia","China"
1972,17,1,18,0.0125,"60 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,362,19,0.0125,"50 kilometres race walk","Walking","1972 Munich","Bernd Kannenberg West Germany","Veniamin Soldatenko Soviet Union","Larry Young United States","men","Munich","Bernd Kannenberg ","Veniamin Soldatenko ","Larry Young ","West Germany","Soviet Union","United States"
1976,18,1,19,0.0125,"20 kilometres race walk","Walking","1976 Montreal","Daniel Bautista Mexico","Hans-Georg Reimann East Germany","Peter Frenkel East Germany","men","Montreal","Daniel Bautista ","Hans-Georg Reimann ","Peter Frenkel ","Mexico","East Germany","East Germany"
1976,18,362,20,0.0125,"10,000 metres","Running","1976 Montreal","Lasse Virén Finland","Carlos Lopes Portugal","Brendan Foster Great Britain","men","Montreal","Lasse Virén ","Carlos Lopes ","Brendan Foster ","Finland","Portugal","Great Britain"
1980,19,1,20,0.0125,"10 miles walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,362,21,0.0125,"10 kilometres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,1,21,0.0125,"10 kilometers race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,362,22,0.0125,"5 miles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,21,1,22,0.0125,"4-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,21,362,23,0.0125,"4 × 400 metres relay","Running","1988 Seoul","Soviet Union (URS)Tatyana LedovskayaOlga NazarovaMariya PiniginaOlha BryzhinaLyudmyla Dzhyhalova*","United States (USA)Denean HowardDiane DixonValerie Brisco-HooksFlorence Griffith-JoynerSherri Howard*Lillie Leatherwood*","East Germany (GDR)Dagmar Neubauer-RübsamKirsten EmmelmannSabine BuschPetra MüllerGrit Breuer*","women","Seoul"," (URS)Tatyana LedovskayaOlga NazarovaMariya PiniginaOlha BryzhinaLyudmyla Dzhyhalova*"," (USA)Denean HowardDiane DixonValerie Brisco-HooksFlorence Griffith-JoynerSherri Howard*Lillie Leatherwood*"," (GDR)Dagmar Neubauer-RübsamKirsten EmmelmannSabine BuschPetra MüllerGrit Breuer*","Soviet Union","United States","East Germany"
1988,21,362,23,0.0125,"4 × 400 metres relay","Running","1988 Seoul","United States (USA)Danny EverettSteve LewisKevin RobinzineButch Reynolds","Jamaica (JAM)Howard DavisDevon MorrisWinthrop GrahamBert Cameron","West Germany (FRG)Norbert DobeleitEdgar IttJörg VaihingerRalf Lübke","men","Seoul"," (USA)Danny EverettSteve LewisKevin RobinzineButch Reynolds"," (JAM)Howard DavisDevon MorrisWinthrop GrahamBert Cameron"," (FRG)Norbert DobeleitEdgar IttJörg VaihingerRalf Lübke","United States","Jamaica","West Germany"
1992,22,1,23,0.0125,"4 × 100 metres relay","Running","1992 Barcelona","United States (USA)Evelyn AshfordEsther JonesCarlette GuidryGwen TorrenceMichelle Finn*","Unified Team (EUN)Olga BogoslovskayaGalina MalchuginaMarina TrandenkovaIrina Privalova","Nigeria (NGR)Beatrice UtonduFaith IdehenChristy Opara-ThompsonMary Onyali","women","Barcelona"," (USA)Evelyn AshfordEsther JonesCarlette GuidryGwen TorrenceMichelle Finn*"," (EUN)Olga BogoslovskayaGalina MalchuginaMarina TrandenkovaIrina Privalova"," (NGR)Beatrice UtonduFaith IdehenChristy Opara-ThompsonMary Onyali","United States","Unified Team","Niger"
1992,22,1,23,0.0125,"4 × 100 metres relay","Running","1992 Barcelona","United States (USA)Michael MarshLeroy BurrellDennis MitchellCarl LewisJames Jett*","Nigeria (NGR)Oluyemi KayodeChidi ImohOlapade AdenikenDavidson EzinwaOsmond Ezinwa*","Cuba (CUB)Andrés SimónJoel LamelaJoel IsasiJorge Aguilera","men","Barcelona"," (USA)Michael MarshLeroy BurrellDennis MitchellCarl LewisJames Jett*"," (NGR)Oluyemi KayodeChidi ImohOlapade AdenikenDavidson EzinwaOsmond Ezinwa*"," (CUB)Andrés SimónJoel LamelaJoel IsasiJorge Aguilera","United States","Niger","Cuba"
1992,22,362,24,0.0125,"3-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,23,1,24,0.0125,"Weight throw","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,23,362,25,0.0125,"Triple jump","Jumping","1996 Atlanta","Inessa Kravets Ukraine","Inna Lasovskaya Russia","Šárka Kašpárková Czech Republic","women","Atlanta","Inessa Kravets ","Inna Lasovskaya ","Šárka Kašpárková ","Ukraine","Russia","Czech Republic"
1996,23,362,25,0.0125,"Triple jump","Jumping","1996 Atlanta","Kenny Harrison United States","Jonathan Edwards Great Britain","Yoelbi Quesada Cuba","men","Atlanta","Kenny Harrison ","Jonathan Edwards ","Yoelbi Quesada ","United States","Great Britain","Cuba"
2000,24,1,25,0.0125,"Triathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,24,362,26,0.0125,"Standing triple jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,25,1,26,0.0125,"Standing long jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,25,362,27,0.0125,"Standing high jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,26,1,27,0.0125,"Shot put (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,26,362,28,0.0125,"Shot put","Throwing","2008 Beijing","Valerie Vili New Zealand","Misleydis González Cuba","Gong Lijiao China","women","Beijing","Valerie Vili ","Misleydis González ","Gong Lijiao ","New Zealand","Cuba","China"
2008,26,362,28,0.0125,"Shot put","Throwing","2008 Beijing","Tomasz Majewski Poland","Christian Cantwell United States","Dylan Armstrong Canada","men","Beijing","Tomasz Majewski ","Christian Cantwell ","Dylan Armstrong ","Poland","United States","Canada"
2012,27,1,28,0.0125,"Pole vault","Jumping","2012 London","Jennifer Suhr United States","Yarisley Silva Cuba","Yelena Isinbayeva Russia","women","London","Jennifer Suhr ","Yarisley Silva ","Yelena Isinbayeva ","United States","Cuba","Russia"
2012,27,1,28,0.0125,"Pole vault","Jumping","2012 London","Renaud Lavillenie France","Björn Otto Germany","Raphael Holzdeppe Germany","men","London","Renaud Lavillenie ","Björn Otto ","Raphael Holzdeppe ","France","Germany","Germany"
2012,27,362,29,0.0125,"Pentathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,28,1,29,0.0125,"Marathon","Running","2016 Rio de Janeiro","Jemima Sumgong Kenya","Eunice Kirwa Bahrain","Mare Dibaba Ethiopia","women","Rio de Janeiro","Jemima Sumgong ","Eunice Kirwa Bahrain","Mare Dibaba ","Kenya",NA,"Ethiopia"
2016,28,1,29,0.0125,"Marathon","Running","2016 Rio de Janeiro","Eliud Kipchoge Kenya","Feyisa Lelisa Ethiopia","Galen Rupp United States","men","Rio de Janeiro","Eliud Kipchoge ","Feyisa Lelisa ","Galen Rupp ","Kenya","Ethiopia","United States"
2016,28,362,30,0.0125,"Long jump","Jumping","2016 Rio de Janeiro","Tianna Bartoletta United States","Britney Reese United States","Ivana Španovic Serbia","women","Rio de Janeiro","Tianna Bartoletta ","Britney Reese ","Ivana Španovic Serbia","United States","United States",NA
2016,28,362,30,0.0125,"Long jump","Jumping","2016 Rio de Janeiro","Jeff Henderson United States","Luvo Manyonga South Africa","Greg Rutherford Great Britain","men","Rio de Janeiro","Jeff Henderson ","Luvo Manyonga ","Greg Rutherford ","United States","South Africa","Great Britain"
1896,1,1,2,0.0125,"Javelin throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,1,362,3,0.0125,"Javelin throw (freestyle)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,1,3,0.0125,"Javelin throw","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,362,4,0.0125,"High jump","Jumping","1900 Paris","Irving Baxter United States","Patrick Leahy Great Britain","Lajos Gönczy Hungary","men","Paris","Irving Baxter ","Patrick Leahy ","Lajos Gönczy ","United States","Great Britain","Hungary"
1904,3,1,4,0.0125,"Heptathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,362,5,0.0125,"Hammer throw","Throwing","1904 St. Louis","John Flanagan United States","John DeWitt United States","Ralph Rose United States","men","St. Louis","John Flanagan ","John DeWitt ","Ralph Rose ","United States","United States","United States"
1908,4,1,5,0.0125,"Discus throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,362,6,0.0125,"Discus throw (Greek style)","Throwing","1908 London","Martin Sheridan United States","Bill Horr United States","Verner Järvinen Finland","men","London","Martin Sheridan ","Bill Horr ","Verner Järvinen ","United States","United States","Finland"
1912,5,1,6,0.0125,"Discus throw","Throwing","1912 Stockholm","Armas Taipale Finland","Richard Byrd United States","James Duncan United States","men","Stockholm","Armas Taipale ","Richard Byrd ","James Duncan ","Finland","United States","United States"
1912,5,362,7,0.0125,"Decathlon","Multisport","1912 Stockholm","Jim Thorpe United States & Hugo Wieslander Sweden","Charles Lomberg Sweden","Gösta Holmér Sweden","men","Stockholm","Jim Thorpe  & Hugo Wieslander ","Charles Lomberg ","Gösta Holmér ","United States","Sweden","Sweden"
1920,6,1,7,0.0125,"Cross country (team)","Running","1920 Antwerp","Finland (FIN)Paavo NurmiHeikki LiimatainenTeodor Koskenniemi","Great Britain (GBR)James WilsonAnton HegartyAlfred Nichols","Sweden (SWE)Eric BackmanGustaf MattssonHilding Ekman","men","Antwerp"," (FIN)Paavo NurmiHeikki LiimatainenTeodor Koskenniemi"," (GBR)James WilsonAnton HegartyAlfred Nichols"," (SWE)Eric BackmanGustaf MattssonHilding Ekman","Finland","Great Britain","Sweden"
1920,6,362,8,0.0125,"Cross country (individual)","Running","1920 Antwerp","Paavo Nurmi Finland","Eric Backman Sweden","Heikki Liimatainen Finland","men","Antwerp","Paavo Nurmi ","Eric Backman ","Heikki Liimatainen ","Finland","Sweden","Finland"
1924,7,1,8,0.0125,"5000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,7,362,9,0.0125,"5000 metres","Running","1924 Paris","Paavo Nurmi Finland","Ville Ritola Finland","Edvin Wide Sweden","men","Paris","Paavo Nurmi ","Ville Ritola ","Edvin Wide ","Finland","Finland","Sweden"
1928,8,1,9,0.0125,"4000 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,8,362,10,0.0125,"3500 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9,1,10,0.0125,"3200 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9,362,11,0.0125,"3000 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,10,1,11,0.0125,"3000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,10,362,12,0.0125,"3000 metres steeplechase","Running","1936 Berlin","Volmari Iso-Hollo Finland","Kalle Tuominen Finland","Alfred Dompert Germany","men","Berlin","Volmari Iso-Hollo ","Kalle Tuominen ","Alfred Dompert ","Finland","Finland","Germany"
1948,11,1,12,0.0125,"3000 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,11,362,13,0.0125,"2590 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,12,1,13,0.0125,"2500 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,12,362,14,0.0125,"1600 metres relay","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,13,1,14,0.0125,"1500 metres","Running","1956 Melbourne","Ron Delany Ireland","Klaus Richtzenhain United Team of Germany","John Landy Australia","men","Melbourne","Ron Delany ","Klaus Richtzenhain ","John Landy ","Ireland","United Team of Germany","Australia"
1956,13,362,15,0.0125,"800 metres","Running","1956 Melbourne","Tom Courtney United States","Derek Johnson Great Britain","Audun Boysen Norway","men","Melbourne","Tom Courtney ","Derek Johnson ","Audun Boysen ","United States","Great Britain","Norway"
1960,14,1,15,0.0125,"400 metres hurdles","Running","1960 Rome","Glenn Davis United States","Clifton Cushman United States","Dick Howard United States","men","Rome","Glenn Davis ","Clifton Cushman ","Dick Howard ","United States","United States","United States"
1960,14,362,16,0.0125,"400 metres","Running","1960 Rome","Otis Davis United States","Carl Kaufmann United Team of Germany","Malcolm Spence South Africa","men","Rome","Otis Davis ","Carl Kaufmann ","Malcolm Spence ","United States","United Team of Germany","South Africa"
1964,15,1,16,0.0125,"200 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,15,362,17,0.0125,"200 metres","Running","1964 Tokyo","Edith McGuire United States","Irena Kirszenstein Poland","Marilyn Black Australia","women","Tokyo","Edith McGuire ","Irena Kirszenstein ","Marilyn Black ","United States","Poland","Australia"
1964,15,362,17,0.0125,"200 metres","Running","1964 Tokyo","Henry Carr United States","Paul Drayton United States","Edwin Roberts Trinidad and Tobago","men","Tokyo","Henry Carr ","Paul Drayton ","Edwin Roberts ","United States","United States","Trinidad and Tobago"
1968,16,1,17,0.0125,"110 metres hurdles","Running","1968 Mexico City","Willie Davenport United States","Ervin Hall United States","Eddy Ottoz Italy","men","Mexico City","Willie Davenport ","Ervin Hall ","Eddy Ottoz ","United States","United States","Italy"
1968,16,362,18,0.0125,"100 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,1,18,0.0125,"100 metres","Running","1972 Munich","Renate Stecher East Germany","Raelene Boyle Australia","Silvia Chivás Cuba","women","Munich","Renate Stecher ","Raelene Boyle ","Silvia Chivás ","East Germany","Australia","Cuba"
1972,17,1,18,0.0125,"100 metres","Running","1972 Munich","Valeriy Borzov Soviet Union","Robert Taylor United States","Lennox Miller Jamaica","men","Munich","Valeriy Borzov ","Robert Taylor ","Lennox Miller ","Soviet Union","United States","Jamaica"
1972,17,362,19,0.0125,"80 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,1,19,0.0125,"60 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,362,20,0.0125,"50 kilometres race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,1,20,0.0125,"20 kilometres race walk","Walking","1980 Moscow","Maurizio Damilano Italy","Pyotr Pochenchuk Soviet Union","Roland Wieser East Germany","men","Moscow","Maurizio Damilano ","Pyotr Pochenchuk ","Roland Wieser ","Italy","Soviet Union","East Germany"
1980,19,362,21,0.0125,"10,000 metres","Running","1980 Moscow","Miruts Yifter Ethiopia","Kaarlo Maaninka Finland","Mohamed Kedir Ethiopia","men","Moscow","Miruts Yifter ","Kaarlo Maaninka ","Mohamed Kedir ","Ethiopia","Finland","Ethiopia"
1984,20,1,21,0.0125,"10 miles walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,362,22,0.0125,"10 kilometres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,21,1,22,0.0125,"10 kilometers race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,21,362,23,0.0125,"5 miles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,22,1,23,0.0125,"4-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,22,362,24,0.0125,"4 × 400 metres relay","Running","1992 Barcelona","Unified Team (EUN)Yelena RuzinaLyudmyla DzhyhalovaOlga NazarovaOlha BryzhinaMarina Shmonina*Liliya Nurutdinova*","United States (USA)Natasha Kaiser-BrownGwen TorrenceJearl MilesRochelle StevensDenean Howard-Hill*Dannette Young*","Great Britain (GBR)Phylis SmithSandra DouglasJennifer StouteSally Gunnell","women","Barcelona"," (EUN)Yelena RuzinaLyudmyla DzhyhalovaOlga NazarovaOlha BryzhinaMarina Shmonina*Liliya Nurutdinova*"," (USA)Natasha Kaiser-BrownGwen TorrenceJearl MilesRochelle StevensDenean Howard-Hill*Dannette Young*"," (GBR)Phylis SmithSandra DouglasJennifer StouteSally Gunnell","Unified Team","United States","Great Britain"
1992,22,362,24,0.0125,"4 × 400 metres relay","Running","1992 Barcelona","United States (USA)Andrew ValmonQuincy WattsMichael JohnsonSteve LewisDarnell HallCharles Jenkins","Cuba (CUB)Lázaro MartínezHéctor HerreraNorberto TéllezRoberto Hernández","Great Britain (GBR)Roger BlackDavid GrindleyKriss AkabusiJohn RegisDu'aine LadejoMark Richardson","men","Barcelona"," (USA)Andrew ValmonQuincy WattsMichael JohnsonSteve LewisDarnell HallCharles Jenkins"," (CUB)Lázaro MartínezHéctor HerreraNorberto TéllezRoberto Hernández"," (GBR)Roger BlackDavid GrindleyKriss AkabusiJohn RegisDu'aine LadejoMark Richardson","United States","Cuba","Great Britain"
1996,23,1,24,0.0125,"4 × 100 metres relay","Running","1996 Atlanta","United States (USA)Gail DeversInger MillerChryste GainesGwen TorrenceCarlette Guidry*","Bahamas (BAH)Eldece ClarkeChandra SturrupSavatheda FynesPauline Davis-ThompsonDebbie Ferguson*","Jamaica (JAM)Michelle FreemanJuliet CuthbertNikole MitchellMerlene OtteyGillian Russell*Andria Lloyd*","women","Atlanta"," (USA)Gail DeversInger MillerChryste GainesGwen TorrenceCarlette Guidry*","Bahamas (BAH)Eldece ClarkeChandra SturrupSavatheda FynesPauline Davis-ThompsonDebbie Ferguson*"," (JAM)Michelle FreemanJuliet CuthbertNikole MitchellMerlene OtteyGillian Russell*Andria Lloyd*","United States",NA,"Jamaica"
1996,23,1,24,0.0125,"4 × 100 metres relay","Running","1996 Atlanta","Canada (CAN)Robert EsmieGlenroy GilbertBruny SurinDonovan BaileyCarlton Chambers*","United States (USA)Jon DrummondTim HardenMichael MarshDennis MitchellTim Montgomery*","Brazil (BRA)Arnaldo da SilvaRobson da SilvaEdson RibeiroAndré da Silva","men","Atlanta"," (CAN)Robert EsmieGlenroy GilbertBruny SurinDonovan BaileyCarlton Chambers*"," (USA)Jon DrummondTim HardenMichael MarshDennis MitchellTim Montgomery*"," (BRA)Arnaldo da SilvaRobson da SilvaEdson RibeiroAndré da Silva","Canada","United States","Brazil"
1996,23,362,25,0.0125,"3-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,24,1,25,0.0125,"Weight throw","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,24,362,26,0.0125,"Triple jump","Jumping","2000 Sydney","Tereza Marinova Bulgaria","Tatyana Lebedeva Russia","Olena Hovorova Ukraine","women","Sydney","Tereza Marinova ","Tatyana Lebedeva ","Olena Hovorova ","Bulgaria","Russia","Ukraine"
2000,24,362,26,0.0125,"Triple jump","Jumping","2000 Sydney","Jonathan Edwards Great Britain","Yoel García Cuba","Denis Kapustin Russia","men","Sydney","Jonathan Edwards ","Yoel García ","Denis Kapustin ","Great Britain","Cuba","Russia"
2004,25,1,26,0.0125,"Triathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,25,362,27,0.0125,"Standing triple jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,26,1,27,0.0125,"Standing long jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,26,362,28,0.0125,"Standing high jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,27,1,28,0.0125,"Shot put (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,27,362,29,0.0125,"Shot put","Throwing","2012 London","Valerie Adams New Zealand","Gong Lijiao China","Li Ling China","women","London","Valerie Adams ","Gong Lijiao ","Li Ling ","New Zealand","China","China"
2012,27,362,29,0.0125,"Shot put","Throwing","2012 London","Tomasz Majewski Poland","David Storl Germany","Reese Hoffa United States","men","London","Tomasz Majewski ","David Storl ","Reese Hoffa ","Poland","Germany","United States"
2016,28,1,29,0.0125,"Pole vault","Jumping","2016 Rio de Janeiro","Katerina Stefanidi Greece","Sandi Morris United States","Eliza McCartney New Zealand","women","Rio de Janeiro","Katerina Stefanidi ","Sandi Morris ","Eliza McCartney ","Greece","United States","New Zealand"
2016,28,1,29,0.0125,"Pole vault","Jumping","2016 Rio de Janeiro","Thiago Braz da Silva Brazil","Renaud Lavillenie France","Sam Kendricks United States","men","Rio de Janeiro","Thiago Braz da Silva ","Renaud Lavillenie ","Sam Kendricks ","Brazil","France","United States"
2016,28,362,30,0.0125,"Pentathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,1,1,2,0.0125,"Marathon","Running","1896 Athens","Spyridon Louis Greece","Charilaos Vasilakos Greece","Gyula Kellner Hungary","men","Athens","Spyridon Louis ","Charilaos Vasilakos ","Gyula Kellner ","Greece","Greece","Hungary"
1896,1,362,3,0.0125,"Long jump","Jumping","1896 Athens","Ellery Clark United States","Robert Garrett United States","James Connolly United States","men","Athens","Ellery Clark ","Robert Garrett ","James Connolly ","United States","United States","United States"
1900,2,1,3,0.0125,"Javelin throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,362,4,0.0125,"Javelin throw (freestyle)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,1,4,0.0125,"Javelin throw","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,362,5,0.0125,"High jump","Jumping","1904 St. Louis","Samuel Jones United States","Garrett Serviss United States","Paul Weinstein Germany","men","St. Louis","Samuel Jones ","Garrett Serviss ","Paul Weinstein ","United States","United States","Germany"
1908,4,1,5,0.0125,"Heptathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,362,6,0.0125,"Hammer throw","Throwing","1908 London","John Flanagan United States","Matt McGrath United States","Con Walsh Canada","men","London","John Flanagan ","Matt McGrath ","Con Walsh ","United States","United States","Canada"
1912,5,1,6,0.0125,"Discus throw (two-handed)","Throwing","1912 Stockholm","Armas Taipale Finland","Elmer Niklander Finland","Emil Magnusson Sweden","men","Stockholm","Armas Taipale ","Elmer Niklander ","Emil Magnusson ","Finland","Finland","Sweden"
1912,5,362,7,0.0125,"Discus throw (Greek style)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,6,1,7,0.0125,"Discus throw","Throwing","1920 Antwerp","Elmer Niklander Finland","Armas Taipale Finland","Gus Pope United States","men","Antwerp","Elmer Niklander ","Armas Taipale ","Gus Pope ","Finland","Finland","United States"
1920,6,362,8,0.0125,"Decathlon","Multisport","1920 Antwerp","Helge Løvland Norway","Brutus Hamilton United States","Bertil Ohlson Sweden","men","Antwerp","Helge Løvland ","Brutus Hamilton ","Bertil Ohlson ","Norway","United States","Sweden"
1924,7,1,8,0.0125,"Cross country (team)","Running","1924 Paris","Finland (FIN)Paavo NurmiVille RitolaHeikki Liimatainen","United States (USA)Earl JohnsonArthur StudenrothAugust Fager","France (FRA)Henri LauvauxGaston HeuetMaurice Norland","men","Paris"," (FIN)Paavo NurmiVille RitolaHeikki Liimatainen"," (USA)Earl JohnsonArthur StudenrothAugust Fager"," (FRA)Henri LauvauxGaston HeuetMaurice Norland","Finland","United States","France"
1924,7,362,9,0.0125,"Cross country (individual)","Running","1924 Paris","Paavo Nurmi Finland","Ville Ritola Finland","Earl Johnson United States","men","Paris","Paavo Nurmi ","Ville Ritola ","Earl Johnson ","Finland","Finland","United States"
1928,8,1,9,0.0125,"5000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,8,362,10,0.0125,"5000 metres","Running","1928 Amsterdam","Ville Ritola Finland","Paavo Nurmi Finland","Edvin Wide Sweden","men","Amsterdam","Ville Ritola ","Paavo Nurmi ","Edvin Wide ","Finland","Finland","Sweden"
1932,9,1,10,0.0125,"4000 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9,362,11,0.0125,"3500 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,10,1,11,0.0125,"3200 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,10,362,12,0.0125,"3000 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,11,1,12,0.0125,"3000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,11,362,13,0.0125,"3000 metres steeplechase","Running","1948 London","Tore Sjöstrand Sweden","Erik Elmsäter Sweden","Göte Hagström Sweden","men","London","Tore Sjöstrand ","Erik Elmsäter ","Göte Hagström ","Sweden","Sweden","Sweden"
1952,12,1,13,0.0125,"3000 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,12,362,14,0.0125,"2590 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,13,1,14,0.0125,"2500 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,13,362,15,0.0125,"1600 metres relay","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,14,1,15,0.0125,"1500 metres","Running","1960 Rome","Herb Elliott Australia","Michel Jazy France","István Rózsavölgyi Hungary","men","Rome","Herb Elliott ","Michel Jazy ","István Rózsavölgyi ","Australia","France","Hungary"
1960,14,362,16,0.0125,"800 metres","Running","1960 Rome","Lyudmila Shevtsova Soviet Union","Brenda Jones Australia","Ursula Donath United Team of Germany","women","Rome","Lyudmila Shevtsova ","Brenda Jones ","Ursula Donath ","Soviet Union","Australia","United Team of Germany"
1960,14,362,16,0.0125,"800 metres","Running","1960 Rome","Peter Snell New Zealand","Roger Moens Belgium","George Kerr British West Indies","men","Rome","Peter Snell ","Roger Moens ","George Kerr British West Indies","New Zealand","Belgium",NA
1964,15,1,16,0.0125,"400 metres hurdles","Running","1964 Tokyo","Rex Cawley United States","John Cooper Great Britain","Salvatore Morale Italy","men","Tokyo","Rex Cawley ","John Cooper ","Salvatore Morale ","United States","Great Britain","Italy"
1964,15,362,17,0.0125,"400 metres","Running","1964 Tokyo","Betty Cuthbert Australia","Ann Packer Great Britain","Judy Amoore Australia","women","Tokyo","Betty Cuthbert ","Ann Packer ","Judy Amoore ","Australia","Great Britain","Australia"
1964,15,362,17,0.0125,"400 metres","Running","1964 Tokyo","Mike Larrabee United States","Wendell Mottley Trinidad and Tobago","Andrzej Badenski Poland","men","Tokyo","Mike Larrabee ","Wendell Mottley ","Andrzej Badenski ","United States","Trinidad and Tobago","Poland"
