"year","level","path","distance","value","event","event_type","games","gold","silver","bronze","gender","location","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
1956,13,362,15,0.0125,"Cross country (individual)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,14,1,15,0.0125,"5000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,14,362,16,0.0125,"5000 metres","Running","1960 Rome","Murray Halberg New Zealand","Hans Grodotzki United Team of Germany","Kazimierz Zimny Poland","men","Rome","Murray Halberg ","Hans Grodotzki ","Kazimierz Zimny ","New Zealand","United Team of Germany","Poland"
1964,15,1,16,0.0125,"4000 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,15,362,17,0.0125,"3500 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,16,1,17,0.0125,"3200 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,16,362,18,0.0125,"3000 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,1,18,0.0125,"3000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,362,19,0.0125,"3000 metres steeplechase","Running","1972 Munich","Kipchoge Keino Kenya","Ben Jipcho Kenya","Tapio Kantanen Finland","men","Munich","Kipchoge Keino ","Ben Jipcho ","Tapio Kantanen ","Kenya","Kenya","Finland"
1976,18,1,19,0.0125,"3000 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,362,20,0.0125,"2590 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,1,20,0.0125,"2500 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,362,21,0.0125,"1600 metres relay","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,1,21,0.0125,"1500 metres","Running","1984 Los Angeles","Gabriella Dorio Italy","Doina Melinte Romania","Maricica Puica Romania","women","Los Angeles","Gabriella Dorio ","Doina Melinte ","Maricica Puica ","Italy","Romania","Romania"
1984,20,1,21,0.0125,"1500 metres","Running","1984 Los Angeles","Sebastian Coe Great Britain","Steve Cram Great Britain","José Manuel Abascal Spain","men","Los Angeles","Sebastian Coe ","Steve Cram ","José Manuel Abascal ","Great Britain","Great Britain","Spain"
1984,20,362,22,0.0125,"800 metres","Running","1984 Los Angeles","Doina Melinte Romania","Kim Gallagher United States","Fita Lovin Romania","women","Los Angeles","Doina Melinte ","Kim Gallagher ","Fita Lovin ","Romania","United States","Romania"
1984,20,362,22,0.0125,"800 metres","Running","1984 Los Angeles","Joaquim Cruz Brazil","Sebastian Coe Great Britain","Earl Jones United States","men","Los Angeles","Joaquim Cruz ","Sebastian Coe ","Earl Jones ","Brazil","Great Britain","United States"
1988,21,1,22,0.0125,"400 metres hurdles","Running","1988 Seoul","Debbie Flintoff-King Australia","Tatyana Ledovskaya Soviet Union","Ellen Fiedler East Germany","women","Seoul","Debbie Flintoff-King ","Tatyana Ledovskaya ","Ellen Fiedler ","Australia","Soviet Union","East Germany"
1988,21,1,22,0.0125,"400 metres hurdles","Running","1988 Seoul","André Phillips United States","Amadou Dia Ba Senegal","Edwin Moses United States","men","Seoul","André Phillips ","Amadou Dia Ba ","Edwin Moses ","United States","Senegal","United States"
1988,21,362,23,0.0125,"400 metres","Running","1988 Seoul","Olga Bryzgina Soviet Union","Petra Müller East Germany","Olga Nazarova Soviet Union","women","Seoul","Olga Bryzgina ","Petra Müller ","Olga Nazarova ","Soviet Union","East Germany","Soviet Union"
1988,21,362,23,0.0125,"400 metres","Running","1988 Seoul","Steve Lewis United States","Butch Reynolds United States","Danny Everett United States","men","Seoul","Steve Lewis ","Butch Reynolds ","Danny Everett ","United States","United States","United States"
1992,22,1,23,0.0125,"200 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,22,362,24,0.0125,"200 metres","Running","1992 Barcelona","Gwen Torrence United States","Juliet Cuthbert Jamaica","Merlene Ottey Jamaica","women","Barcelona","Gwen Torrence ","Juliet Cuthbert ","Merlene Ottey ","United States","Jamaica","Jamaica"
1992,22,362,24,0.0125,"200 metres","Running","1992 Barcelona","Michael Marsh United States","Frankie Fredericks Namibia","Michael Bates United States","men","Barcelona","Michael Marsh ","Frankie Fredericks ","Michael Bates ","United States","Namibia","United States"
1996,23,1,24,0.0125,"110 metres hurdles","Running","1996 Atlanta","Allen Johnson United States","Mark Crear United States","Florian Schwarthoff Germany","men","Atlanta","Allen Johnson ","Mark Crear ","Florian Schwarthoff ","United States","United States","Germany"
1996,23,362,25,0.0125,"100 metres hurdles","Running","1996 Atlanta","Ludmila Engquist Sweden","Brigita Bukovec Slovenia","Patricia Girard France","women","Atlanta","Ludmila Engquist ","Brigita Bukovec ","Patricia Girard ","Sweden","Slovenia","France"
2000,24,1,25,0.0125,"100 metres","Running","2000 Sydney","Vacant[1]","Ekaterini Thanou Greece & Tayna Lawrence Jamaica","Merlene Ottey Jamaica","women","Sydney","Vacant[1]","Ekaterini Thanou  & Tayna Lawrence ","Merlene Ottey ",NA,"Greece","Jamaica"
2000,24,1,25,0.0125,"100 metres","Running","2000 Sydney","Maurice Greene United States","Ato Boldon Trinidad and Tobago","Obadele Thompson Barbados","men","Sydney","Maurice Greene ","Ato Boldon ","Obadele Thompson Barbados","United States","Trinidad and Tobago",NA
2000,24,362,26,0.0125,"80 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,25,1,26,0.0125,"60 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,25,362,27,0.0125,"50 kilometres race walk","Walking","2004 Athens","Robert Korzeniowski Poland","Denis Nizhegorodov Russia","Aleksey Voyevodin Russia","men","Athens","Robert Korzeniowski ","Denis Nizhegorodov ","Aleksey Voyevodin ","Poland","Russia","Russia"
2008,26,1,27,0.0125,"20 kilometres race walk","Walking","2008 Beijing","Olga Kaniskina Russia","Kjersti Plätzer Norway","Elisa Rigaudo Italy","women","Beijing","Olga Kaniskina ","Kjersti Plätzer ","Elisa Rigaudo ","Russia","Norway","Italy"
2008,26,1,27,0.0125,"20 kilometres race walk","Walking","2008 Beijing","Valeriy Borchin Russia","Jefferson Pérez Ecuador","Jared Tallent Australia","men","Beijing","Valeriy Borchin ","Jefferson Pérez ","Jared Tallent ","Russia","Ecuador","Australia"
2008,26,362,28,0.0125,"10,000 metres","Running","2008 Beijing","Tirunesh Dibaba Ethiopia","Elvan Abeylegesse Turkey","Shalane Flanagan United States","women","Beijing","Tirunesh Dibaba ","Elvan Abeylegesse ","Shalane Flanagan ","Ethiopia","Turkey","United States"
2008,26,362,28,0.0125,"10,000 metres","Running","2008 Beijing","Kenenisa Bekele Ethiopia","Sileshi Sihine Ethiopia","Micah Kogo Kenya","men","Beijing","Kenenisa Bekele ","Sileshi Sihine ","Micah Kogo ","Ethiopia","Ethiopia","Kenya"
2012,27,1,28,0.0125,"10 miles walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
